Id,Id2,Geography,Total
0600000US2701910972,2701910972,"Chaska city, Carver County, Minnesota",23770
0600000US2701912664,2701912664,"Cologne city, Carver County, Minnesota",1519
0600000US2701914482,2701914482,"Dahlgren township, Carver County, Minnesota",1331
0600000US2701926666,2701926666,"Hamburg city, Carver County, Minnesota",513
0600000US2701926918,2701926918,"Hancock township, Carver County, Minnesota",345
0600000US2701929726,2701929726,"Hollywood township, Carver County, Minnesota",1041
0600000US2701935108,2701935108,"Laketown township, Carver County, Minnesota",2243
0600000US2701941138,2701941138,"Mayer city, Carver County, Minnesota",1749
0600000US2701945556,2701945556,"New Germany city, Carver County, Minnesota",372
0600000US2701947520,2701947520,"Norwood Young America city, Carver County, Minnesota",3549
0600000US2701958486,2701958486,"San Francisco township, Carver County, Minnesota",832
0600000US2701967036,2701967036,"Victoria city, Carver County, Minnesota",7345
0600000US2701967432,2701967432,"Waconia city, Carver County, Minnesota",10697
0600000US2701967450,2701967450,"Waconia township, Carver County, Minnesota",1228
0600000US2701968548,2701968548,"Watertown city, Carver County, Minnesota",4205
0600000US2701968566,2701968566,"Watertown township, Carver County, Minnesota",1204
0600000US2701972130,2701972130,"Young America township, Carver County, Minnesota",715
0600000US2702101738,2702101738,"Ansel township, Cass County, Minnesota",97
0600000US2702103124,2702103124,"Backus city, Cass County, Minnesota",250
0600000US2702103538,2702103538,"Barclay township, Cass County, Minnesota",559
0600000US2702104600,2702104600,"Becker township, Cass County, Minnesota",517
0600000US2702105104,2702105104,"Bena city, Cass County, Minnesota",116
0600000US2702105572,2702105572,"Beulah township, Cass County, Minnesota",64
0600000US2702106040,2702106040,"Birch Lake township, Cass County, Minnesota",524
0600000US2702106454,2702106454,"Blind Lake township, Cass County, Minnesota",82
0600000US2702107156,2702107156,"Boy Lake township, Cass County, Minnesota",256
0600000US2702107174,2702107174,"Boy River city, Cass County, Minnesota",47
0600000US2702107192,2702107192,"Boy River township, Cass County, Minnesota",86
0600000US2702108560,2702108560,"Bull Moose township, Cass County, Minnesota",133
0600000US2702108596,2702108596,"Bungo township, Cass County, Minnesota",188
0600000US2702109136,2702109136,"Byron township, Cass County, Minnesota",144
0600000US2702110252,2702110252,"Cass Lake city, Cass County, Minnesota",770
0600000US2702111296,2702111296,"Chickamaw Beach city, Cass County, Minnesota",114
0600000US2702113834,2702113834,"Crooked Lake township, Cass County, Minnesota",560
0600000US2702115220,2702115220,"Deerfield township, Cass County, Minnesota",118
0600000US2702117495,2702117495,"East Cass UT, Cass County, Minnesota",62
0600000US2702117630,2702117630,"East Gull Lake city, Cass County, Minnesota",1004
0600000US2702120366,2702120366,"Fairview township, Cass County, Minnesota",821
0600000US2702120798,2702120798,"Federal Dam city, Cass County, Minnesota",110
0600000US2702124686,2702124686,"Gould township, Cass County, Minnesota",224
